NEXT;FNEXT;SNEXT;GNEXT;Waju;
The Card is denied beacuse of its Bank Identifier;FThe Card is denied beacuse of its Bank Identifier;SThe Card is denied beacuse of its Bank Identifier;GThe Card is denied beacuse of its Bank Identifier;A ko gba kaadi yii tori ile afowopamo ti o ti wa;
Transaction denied beacuse there is no rule to process card;FTransaction denied beacuse there is no rule to process card;STransaction denied beacuse there is no rule to process card;GTransaction denied beacuse there is no rule to process card;A ko le teseiwaju tori wipe ko a ko mo bi a se ma da eni ti o ni kaadi mo;
Initializing Comms,   Please Wait...;FInitializing Comms;SInitializing Comms;GInitializing Comms;Mo n bere koms lowo;
Calling Home...;FCalling Home...;SCalling Home...Please wait.;GCalling Home... Please wait.;On pe ile lowo...;
Upgrade required on terminal.;FUpgrade required on terminal.;SUpgrade required on terminal.;GUpgrade required on terminal.;A ni lati so tamina yii di otun;
Upgrading terminal...;FUpgrading terminal...;SUpgrading terminal...;GUpgrading terminal...;A n so tamina yi di otun;
Verifying kxml...;FVerifying kxml...;SVerifying kxml...;GVerifying kxml...;An se ayewo kxml;
Manifest error;FManifest error;SManifest error;GManifest error;A ti ri asise ninu iwe ayewo;
Cannot get manifest sign public key;FCannot get manifest sign public key;SCannot get manifest sign public key;GCannot get manifest sign public key;A ko ri kokoro ti a fi ti iwe ayewo;
Cannot decrypt kxml signature;FCannot decrypt kxml signature;SCannot decrypt kxml signature;GCannot decrypt kxml signature;A ko ri ami iwe ayewo tu;
Corrupt Manifest file;FCorrupt Manifest file;SCorrupt Manifest file;GCorrupt Manifest file;Iwe ayewo ti a ri ko da rara;
Installing application;FInstalling applications;SInstalling applications;GInstalling applications;A n she applikason;
Cannot do base64 decode of ;FCannot do base64 decode of ;SCannot do base64 decode of ;GCannot do base64 decode of ;A ko le she aritu base64;
Checking for upgrade packages...;FChecking for upgrade packages...;SChecking for upgrade packages...;GChecking for upgrade packages...;Mo n wa eru ifasoke;
Bad platform target element;FBad platform target element;SBad platform target element;GBad platform target element;Iwe aywo ti mo ri ko ni oro nipa tageeti;
This application requires a platform capability of;FThis application requires a platform capability of;SThis application requires a platform capability of;GThis application requires a platform capability of;Ki a to le lo apikason yii a ni lati le se ;
This application requires a minimum kernel of;FThis application requires a minimum kernel of;SThis application requires a minimum kernel of;GThis application requires a minimum kernel of;ki aplikason yii to le sise keneli gbudo je atbi kio ju;
This application is not meant for this platform;FThis application is not meant for this platform;SThis application is not meant for this platform;GThis application is not meant for this platform;Aplikason yii ko le sise lori platfoomu yii;
Licence not found;FLicence not found;SLicence not found;GLicence not found;A ko laisensi;
Corrupt licence file;FCorrupt licence file;SCorrupt licence file;GCorrupt licence file;laisensi yii koda;
Licence expired;FLicence expired;SLicence expired;GLicence expired;Laisensi yii ti tan;
Depedency check pass;FDepedency check pass;SDepedency check pass;GDepedency check pass;Gbogbo nko ti a nilo wanibi;
Installing package;FInstalling package;SInstalling package;GInstalling package;Mo n te pakaji ;
Cannot install application;FCannot install application;SCannot install application;GCannot install application;Mi o le instoli aplikason;
Cannot calculate SHA1 of;FCannot calculate SHA1 of;SCannot calculate SHA1 of;GCannot calculate SHA1 of;Mi o le she SHA1 ;
Cannot generate main.kxml;FCannot generate main.kxml;SCannot generate main.kxml;GCannot generate main.kxml;Mi o ri main.kxml she;
More...;FMore...;SMore...;GMore...;Wa si...;
Cannot write to main.kxml;FCannot write to main.kxml;SCannot write to main.kxml;GCannot write to main.kxml;Mi le ko si main.kxml;
Previous...;FPrevious...;SPrevious...;GPrevious...;Tele...;
 is of a lower version than currently installed do you want to continue?;Fis of a lower version than currently installed do you want to continue?;Sis of a lower version than currently installed do you want to continue?;Gis of a lower version than currently installed do you want to continue?; ti a fe fi si pe ju eleyi ti mo ni lo. she ki tesiwaju?;
Building transaction data;FBuilding transaction data;SBuilding transaction data;GBuilding transaction data;Mo n se data owo lowo;
Download Failed;FDownload Failed;SDownload Failed;GDownload Failed;Downloadi faili;
Download Successfull;FDownload Successfull;SDownload Successfull;GDownload Successfull;Daulodi setan;
Location;FLocation;SLocation;Adugbo;
Using;FUsing;SUsing;An lo;
Setting Up;FSetting Up;SSetting Up;GSetting Up;An se;
GPRS Connection;FGPRS Connection;SGPRS Connection;GGPRS Connection;okun GPRS;
Waiting to get dynamic IP;FWaiting to get dynamic IP;SWaiting to get dynamic IP;GWaiting to get dynamic IP;On duro lati gba IP ti yato;
Sim Card Error on;FSim Card Error for;SSim Card Error for;GSim Card Error for;A ko ri SIMU;
Changing SIM card, please wait...;FChanging SIM card, please wait...;SChanging SIM card, please wait...;GChanging SIM card, please wait...;On paro SIMU, e jo e duro;
Starting up;FStarting up;SStarting up;GStarting up;An gbe dide;
SIM;FSIM;SSIM;GSIM;Simu;
not found;Fnot found;Snot found;Gnot found;a ko ri;
Please restart this terminal;FPlease restart this terminal;SPlease restart this terminal;GPlease restart this terminal;E joo e tun tamina yii tan;
This card type is not supported!;FThis card type is not supported!;SThis card type is not supported!;GThis card type is not supported!;Kaadi yii ko le ba tamina yii sise;
Card Authentication Failed;FCard Authentication Failed;SCard Authentication Failed;GCard Authentication Failed;Akole Duro fun cardi re;
Card Read Failed;FCard Read Failed;SCard Read Failed;GCard Read Failed;A kole ka cardi re;
Card Write Failed;FCard Write Failed;SCard Write Failed;GCard Write Failed;Akole ko si cardi re;
Terminal Has No Contactless;FTerminal Has No Contactless;STerminal Has No Contactless;GTerminal Has No Contactless;Tamina re oni contactlessi;
CDMA Connection;FCDMA Connection;SCDMA Connection;GCDMA Connection;okun CDMA;
Timeout!;FTimeout;STimeout;STimeout;GTimeout;Asiko ti an;
Key Expired;FKey Expired;SKey Expired;GKey Expired;Kokoro ti baje;
Pin try remaining;FPin try remaining;GPin try remaining;Pin to ku;
Last pin try;FLast pin try;GLast pin try;Pin asgbeyin leyi;
Please remove card;FPlease remove card;GPlease remove card;E jo e yo kaadi;
This card is not supported;FThis card is not supported;GThis card is not supported;A ko mo kaadi yii;
This card is not allowed on this terminal;FThis card is not allowed on this terminal;GThis card is not allowed on this terminal;A ko gba kaadi yi laye;
Is not allowed for magnetic stripe cards;FIs not allowed for magnetic stripe cards;GIs not allowed for magnetic stripe cards;A ko gba kaadi yii laye;
Please swipe the card. It appears the chip is bad;FPlease swipe the card. It appears the chip is bad;FPlease swipe the card. It appears the chip is bad;E jo e swaipu kaadi yii. o ba bi wipe chipu re ko da mo;
Pin try for this card has been exceeded;FPin try for this card has been exceeded;GPin try for this card has been exceeded;O da bi wipe a ko le te kokoro si inu kaadi yi mo;
Pin entry has been bypassed;FPin entry has been bypassed;GPin entry has been bypassed;A ko te kokoro si inu kaadi yi mo;
Pin entry is blocked;FPin entry is blocked;GPin entry is blocked;A ko le te kokoro sinu kaadi yi mo;
Wrong Pin;FWrong Pin;GWrong Pin;Kokoro yii ko;
